KEYTIME -------------------------------------------------------------------------------------------------
TIME      PID     EVENT            ARGS/RET/OTHERS
14:46:20  125532  onCPU            oncpu_time:50032701454776 
14:46:20  125532  offCPU           offcpu_time:50032701499005
14:46:22  125532  onCPU            oncpu_time:50035264147470 
14:46:22  125532  forkP_enter      child_pid:127606 
14:46:22  125532  offCPU           offcpu_time:50035264461066
14:46:24  125532  forkP_exit       child_pid:127606 
14:46:24  125532  onCPU            oncpu_time:50037265018542 
14:46:24  125532  offCPU           offcpu_time:50037265183095
14:46:24  125532  vforkP_enter     child_pid:128805 
14:46:26  125532  vforkP_exit      child_pid:128805 
14:46:26  125532  onCPU            oncpu_time:50039273327870 
14:46:26  125532  createT_enter    child_pid:129392 
14:46:26  125532  createT_enter    child_pid:129393 
14:46:26  125532  createT_enter    child_pid:129394 
14:46:26  125532  offCPU           offcpu_time:50039273813650
14:46:29  125532  createT_exit     child_pid:129393 
14:46:29  125532  createT_exit     child_pid:129392 
14:46:29  125532  onCPU            oncpu_time:50042307545368 
14:46:29  125532  offCPU           offcpu_time:50042307567649
14:46:29  125532  onCPU            oncpu_time:50042411845305 
14:46:29  125532  offCPU           offcpu_time:50042411869110
14:46:29  125532  createT_exit     child_pid:129394 
14:46:29  125532  onCPU            oncpu_time:50042412175342 
14:46:29  125532  offCPU           offcpu_time:50042412370717
14:46:32  125532  onCPU            oncpu_time:50045412482772 
14:46:32  125532  exec_enter       /bin/ls -l 
14:46:32  125532  offCPU           offcpu_time:50045412900824
14:46:32  125532  onCPU            oncpu_time:50045413164136 
14:46:32  125532  offCPU           offcpu_time:50045413644970
14:46:32  125532  onCPU            oncpu_time:50045414001685 
14:46:32  125532  exec_exit        0 
14:46:32  125532  exit             0 
14:46:32  125532  offCPU           offcpu_time:50045415933416
